0	2	3
1	2	0
2	0	0
3	1	4
4	0	0
5	1	4
6	2	1
7	4	1
8	4	1
9	1	4
10	1	4
11	0	0
12	0	0
13	1	4
14	1	4
15	0	0
16	0	0
17	1	4
18	0	0
19	2	1
20	3	2
21	2	3
22	1	4
23	2	3
24	1	4
25	0	0
26	1	4
27	1	4
28	4	1
29	3	2
30	2	1
31	0	0
32	2	3
33	2	3
34	0	1
35	0	0
36	4	2
37	1	4
38	0	0
39	2	3
40	0	0
41	3	2
42	4	1
43	4	1
44	2	4
45	1	3
46	2	3
47	2	3
48	3	2
49	3	2
50	2	3
51	2	3
52	2	3
53	3	2
54	1	4
55	0	0
56	2	3
57	1	4
58	2	3
59	0	0
60	0	0
61	4	1
62	2	0
63	1	4
64	2	3
65	4	1
66	2	1
67	0	0
68	1	4
69	0	0
70	2	1
71	1	4
72	4	1
73	1	4
74	4	1
75	2	3
76	0	0
77	1	4
78	2	3
79	3	2
80	4	1
81	2	1
82	2	3
83	0	0
84	2	3
85	1	4
86	2	3
87	2	3
88	1	4
89	0	0
90	0	0
91	2	3
92	4	1
93	2	4
94	0	0
95	4	1
96	1	4
97	1	4
98	2	3
99	1	4
100	3	2
101	2	3
102	0	0
103	1	4
104	1	4
105	3	2
106	0	0
107	2	3
108	3	2
109	0	0
110	4	1
111	0	0
112	0	0
113	2	1
114	4	1
115	3	2
116	2	0
117	0	1
118	3	2
119	3	2
120	4	1
121	0	0
122	0	0
123	4	2
124	1	4
125	4	1
126	0	0
127	3	2
128	2	3
129	4	2
130	2	1
131	3	2
132	1	4
133	4	1
134	1	4
135	0	0
136	1	4
137	0	0
138	3	2
139	0	0
140	0	0
141	2	3
142	1	4
143	4	1
144	0	0
145	1	3
146	2	3
147	4	1
148	2	1
149	4	1
150	2	1
151	4	1
152	0	0
153	4	1
154	0	0
155	4	2
156	4	1
157	2	3
158	2	3
159	1	4
160	3	2
161	0	0
162	1	4
163	1	4
164	1	4
165	0	0
166	2	1
167	2	1
168	1	4
169	0	0
170	0	0
171	4	1
172	0	0
173	1	4
174	0	0
175	2	3
176	2	3
177	2	3
178	2	4
179	1	4
180	1	4
181	2	3
182	4	3
183	2	3
184	1	4
185	0	0
186	2	1
187	1	3
188	0	0
189	0	0
190	0	0
191	3	2
192	0	0
193	0	0
194	3	2
